<DATETIME>,<RETURN>
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 095955,0.0000001
20180103 100000,0.0000001
20180103 100000,-0.0099999
20180103 100000,0.0000001
20180103 100000,0.0000001
20180103 100000,0.0000001
20180103 100000,0.0000001
20180103 100000,0.0000001
20180103 100000,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0200001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,-0.0699999
20180103 100001,0.0700001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,-0.0099999
20180103 100001,0.0000001
20180103 100001,-0.0399999
20180103 100001,0.0500001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100001,0.0100001
20180103 100001,0.0000001
20180103 100001,0.0000001
20180103 100002,0.0100001
20180103 100002,-0.0099999
20180103 100002,-0.0499999
20180103 100002,0.0000001
20180103 100002,0.0000001
20180103 100002,0.0000001
20180103 100002,0.0000001
20180103 100002,-0.0299999
20180103 100002,-0.0099999
20180103 100002,0.0000001
20180103 100003,0.0700001
20180103 100003,-0.0699999
20180103 100003,0.0000001
20180103 100003,0.0700001
20180103 100003,-0.0699999
20180103 100004,-0.0199999
20180103 100004,-0.0199999
20180103 100004,0.0000001
20180103 100004,0.0000001
20180103 100004,-0.0099999
20180103 100004,-0.0099999
20180103 100004,-0.0099999
20180103 100004,0.0000001
20180103 100004,-0.0099999
20180103 100004,0.0100001
20180103 100004,0.0700001
20180103 100008,-0.0699999
20180103 100008,0.0000001
20180103 100008,0.0000001
20180103 100008,-0.0099999
20180103 100010,0.0600001
20180103 100010,0.0100001
20180103 100010,0.0000001
20180103 100010,0.0100001
20180103 100010,0.0000001
20180103 100010,0.0100001
20180103 100010,-0.0899999
20180103 100011,0.0000001
20180103 100011,0.0000001
20180103 100011,0.0000001
20180103 100011,0.0000001
20180103 100011,0.0000001
20180103 100011,0.0000001
20180103 100012,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,0.0000001
20180103 100013,-0.0099999
20180103 100013,-0.0099999
20180103 100013,-0.0499999
20180103 100015,0.0100001
20180103 100015,-0.0199999
20180103 100016,0.0000001
20180103 100016,-0.0399999
20180103 100016,0.0000001
20180103 100016,0.0000001
20180103 100016,0.0200001
20180103 100016,0.0100001
20180103 100016,-0.0599999
20180103 100016,0.0100001
20180103 100016,0.0500001
20180103 100018,0.0100001
20180103 100018,-0.0099999
20180103 100018,-0.0199999
20180103 100018,-0.0299999
20180103 100018,-0.0099999
20180103 100018,0.0000001
20180103 100018,-0.0099999
20180103 100018,-0.0099999
20180103 100018,-0.0099999
20180103 100018,-0.0899999
20180103 100018,0.1800001
20180103 100018,0.0200001
20180103 100020,0.0000001
20180103 100022,0.0000001
20180103 100022,0.0200001
20180103 100022,0.0300001
20180103 100022,0.0100001
20180103 100022,-0.2699999
20180103 100026,0.0000001
20180103 100036,-0.0199999
20180103 100036,-0.0299999
20180103 100036,-0.0199999
20180103 100036,0.0300001
20180103 100036,-0.0299999
20180103 100036,0.0000001
20180103 100036,0.2400001
20180103 100045,-0.2399999
20180103 100046,0.2800001
20180103 100046,0.0000001
20180103 100046,-0.0099999
20180103 100047,-0.1099999
20180103 100049,0.0900001
20180103 100051,-0.2399999
20180103 100054,0.2300001
20180103 100055,0.0300001
20180103 100055,0.0100001
20180103 100055,0.0100001
20180103 100055,-0.0399999
20180103 100055,-0.1899999
