<DATETIME>,<LAST>
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 095955,131.030000000
20180103 100000,131.030000000
20180103 100000,131.030000000
20180103 100000,131.020000000
20180103 100000,131.020000000
20180103 100000,131.020000000
20180103 100000,131.020000000
20180103 100000,131.020000000
20180103 100000,131.020000000
20180103 100001,131.020000000
20180103 100001,131.020000000
20180103 100001,131.040000000
20180103 100001,131.040000000
20180103 100001,131.040000000
20180103 100001,131.050000000
20180103 100001,131.050000000
20180103 100001,131.060000000
20180103 100001,131.060000000
20180103 100001,131.070000000
20180103 100001,131.080000000
20180103 100001,131.090000000
20180103 100001,131.020000000
20180103 100001,131.090000000
20180103 100001,131.090000000
20180103 100001,131.090000000
20180103 100001,131.080000000
20180103 100001,131.080000000
20180103 100001,131.040000000
20180103 100001,131.090000000
20180103 100001,131.090000000
20180103 100001,131.090000000
20180103 100001,131.090000000
20180103 100001,131.100000000
20180103 100001,131.110000000
20180103 100001,131.110000000
20180103 100001,131.110000000
20180103 100001,131.120000000
20180103 100001,131.130000000
20180103 100001,131.130000000
20180103 100001,131.140000000
20180103 100001,131.150000000
20180103 100001,131.160000000
20180103 100001,131.160000000
20180103 100001,131.170000000
20180103 100001,131.170000000
20180103 100001,131.170000000
20180103 100001,131.170000000
20180103 100001,131.170000000
20180103 100001,131.170000000
20180103 100001,131.180000000
20180103 100001,131.180000000
20180103 100002,131.180000000
20180103 100002,131.190000000
20180103 100002,131.180000000
20180103 100002,131.130000000
20180103 100002,131.130000000
20180103 100002,131.130000000
20180103 100002,131.130000000
20180103 100002,131.130000000
20180103 100002,131.100000000
20180103 100002,131.090000000
20180103 100003,131.090000000
20180103 100003,131.160000000
20180103 100003,131.090000000
20180103 100003,131.090000000
20180103 100003,131.160000000
20180103 100004,131.090000000
20180103 100004,131.070000000
20180103 100004,131.050000000
20180103 100004,131.050000000
20180103 100004,131.050000000
20180103 100004,131.040000000
20180103 100004,131.030000000
20180103 100004,131.020000000
20180103 100004,131.020000000
20180103 100004,131.010000000
20180103 100004,131.020000000
20180103 100008,131.090000000
20180103 100008,131.020000000
20180103 100008,131.020000000
20180103 100008,131.020000000
20180103 100010,131.010000000
20180103 100010,131.070000000
20180103 100010,131.080000000
20180103 100010,131.080000000
20180103 100010,131.090000000
20180103 100010,131.090000000
20180103 100010,131.100000000
20180103 100011,131.010000000
20180103 100011,131.010000000
20180103 100011,131.010000000
20180103 100011,131.010000000
20180103 100011,131.010000000
20180103 100011,131.010000000
20180103 100012,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.010000000
20180103 100013,131.000000000
20180103 100013,130.990000000
20180103 100015,130.940000000
20180103 100015,130.950000000
20180103 100016,130.930000000
20180103 100016,130.930000000
20180103 100016,130.890000000
20180103 100016,130.890000000
20180103 100016,130.890000000
20180103 100016,130.910000000
20180103 100016,130.920000000
20180103 100016,130.860000000
20180103 100016,130.870000000
20180103 100018,130.920000000
20180103 100018,130.930000000
20180103 100018,130.920000000
20180103 100018,130.900000000
20180103 100018,130.870000000
20180103 100018,130.860000000
20180103 100018,130.860000000
20180103 100018,130.850000000
20180103 100018,130.840000000
20180103 100018,130.830000000
20180103 100018,130.740000000
20180103 100018,130.920000000
20180103 100020,130.940000000
20180103 100022,130.940000000
20180103 100022,130.940000000
20180103 100022,130.960000000
20180103 100022,130.990000000
20180103 100022,131.000000000
20180103 100026,130.730000000
20180103 100036,130.730000000
20180103 100036,130.710000000
20180103 100036,130.680000000
20180103 100036,130.660000000
20180103 100036,130.690000000
20180103 100036,130.660000000
20180103 100036,130.660000000
