date,close
2009/01/05,21.43
2009/01/06,22.85
2009/01/07,23.77
2009/01/08,24.21
2009/01/09,23.55
2009/01/12,23.1
2009/01/13,22.24
2009/01/14,22.32
2009/01/15,22.56
2009/01/16,22.83
2009/01/20,21.53
2009/01/21,22.58
2009/01/22,19.33
2009/01/23,20.32
2009/01/26,19.88
2009/01/27,20.58
2009/01/28,20.93
2009/01/29,20.27
2009/01/30,19.22
2009/02/02,19.46
2009/02/03,19.89
2009/02/04,19.97
2009/02/05,20.65
2009/02/06,20.88
2009/02/09,20.44
2009/02/10,19.32
2009/02/11,19.46
2009/02/12,19.42
2009/02/13,18.5
2009/02/17,17.36
2009/02/18,17.21
2009/02/19,16.98
2009/02/20,16.6
2009/02/23,15.72
2009/02/24,16.78
2009/02/25,17.06
2009/02/26,16.25
2009/02/27,16.56
2009/03/02,16.46
2009/03/03,17.36
2009/03/04,18.28
2009/03/05,17.51
2009/03/06,17.25
2009/03/09,17.58
2009/03/10,18.31
2009/03/11,18.38
2009/03/12,18.5
2009/03/13,19.38
2009/03/16,19.49
2009/03/17,20.45
2009/03/18,20.87
2009/03/19,20.52
2009/03/20,19.93
2009/03/23,21.69
2009/03/24,21.4
2009/03/25,21.62
2009/03/26,22.86
2009/03/27,22.27
2009/03/30,20.75
2009/03/31,20.63
2009/04/01,22.33
2009/04/02,24.35
2009/04/03,24.23
2009/04/06,23.83
2009/04/07,23.64
2009/04/08,23.36
2009/04/09,25.99
2009/04/13,25.84
2009/04/14,25.4
2009/04/15,25
2009/04/16,25.19
2009/04/17,26.37
2009/04/20,25.7
2009/04/21,26.23
2009/04/22,25.53
2009/04/23,25.88
2009/04/24,26.61
2009/04/27,26.31
2009/04/28,25.77
2009/04/29,26.14
2009/04/30,25.86
2009/05/01,26.41
2009/05/04,27.23
2009/05/05,27.25
2009/05/06,27.74
2009/05/07,27.25
2009/05/08,27.94
2009/05/11,26.95
2009/05/12,26.84
2009/05/13,25.85
2009/05/14,26.26
2009/05/15,26.48
2009/05/18,26.23
2009/05/19,26.05
2009/05/20,26.11
2009/05/21,25.78
2009/05/22,25.79
2009/05/26,26.58
2009/05/27,25.56
2009/05/28,25.73
2009/05/29,26.23
2009/06/01,27.34
2009/06/02,28
2009/06/03,27.37
2009/06/04,27.71
2009/06/05,27.83
2009/06/08,27.55
2009/06/09,27.64
2009/06/10,27.36
2009/06/11,27.42
2009/06/12,27.29
2009/06/15,26.24
2009/06/16,25.96
2009/06/17,26.39
2009/06/18,25.98
2009/06/19,26.23
2009/06/22,25.32
2009/06/23,25.81
2009/06/24,25.9
2009/06/25,26.51
2009/06/26,26.3
2009/06/29,26.58
2009/06/30,25.86
2009/07/01,25.98
2009/07/02,25.19
2009/07/06,25.27
2009/07/07,24.34
2009/07/08,24.4
2009/07/09,24.45
2009/07/10,23.85
2009/07/13,24.08
2009/07/14,24.77
2009/07/15,25.23
2009/07/16,24.79
2009/07/17,24.34
2009/07/20,24.63
2009/07/21,24.64
2009/07/22,24.7
2009/07/23,25.28
2009/07/24,25.38
2009/07/27,24.78
2009/07/28,24.55
2009/07/29,24.82
2009/07/30,27.28
2009/07/31,27.96
2009/08/03,28.62
2009/08/04,28
2009/08/05,28.06
2009/08/06,28.28
2009/08/07,28.34
2009/08/10,28.65
2009/08/11,28.3
2009/08/12,28.55
2009/08/13,28.43
2009/08/14,27.92
2009/08/17,27.02
2009/08/18,27.57
2009/08/19,26.68
2009/08/20,26.5
2009/08/21,26.61
2009/08/24,26.58
2009/08/25,26.84
2009/08/26,27.03
2009/08/27,27.25
2009/08/28,27.3
2009/08/31,26.74
2009/09/01,26.39
2009/09/02,26.29
2009/09/03,26.28
2009/09/04,26.51
2009/09/08,26.9
2009/09/09,26.59
2009/09/10,26.99
2009/09/11,27.27
2009/09/14,27.01
2009/09/15,26.75
2009/09/16,27.65
2009/09/17,27.54
2009/09/18,28.46
2009/09/21,28.33
2009/09/22,28.37
2009/09/23,28.15
2009/09/24,28.81
2009/09/25,29.43
2009/09/28,30
2009/09/29,29.39
2009/09/30,29.2
2009/10/01,28.02
2009/10/02,27.16
2009/10/05,27.17
2009/10/06,27.63
2009/10/07,28.09
2009/10/08,28.2
2009/10/09,28.44
2009/10/12,28.62
2009/10/13,28.2
2009/10/14,28.56
2009/10/15,29.22
2009/10/16,28.88
2009/10/19,29.51
2009/10/20,29.11
2009/10/21,28.96
2009/10/22,29.26
2009/10/23,28.91
2009/10/26,29.16
2009/10/27,29.22
2009/10/28,28.63
2009/10/29,30.54
2009/10/30,29.39
2009/11/02,28.9
2009/11/03,29.01
2009/11/04,28.69
2009/11/05,28.73
2009/11/06,28.87
2009/11/09,29.49
2009/11/10,29.23
2009/11/11,29
2009/11/12,28.24
2009/11/13,28.35
2009/11/16,28.63
2009/11/17,28.45
2009/11/18,28.25
2009/11/19,26.98
2009/11/20,26.8
2009/11/23,27.31
2009/11/24,26.62
2009/11/25,27.46
2009/11/27,26.68
2009/11/30,26.69
2009/12/01,27.44
2009/12/02,27
2009/12/03,27.98
2009/12/04,28.52
2009/12/07,28.45
2009/12/08,28.67
2009/12/09,28.43
2009/12/10,28.34
2009/12/11,29
2009/12/14,29.3
2009/12/15,28.99
2009/12/16,29.01
2009/12/17,28.58
2009/12/18,28.64
2009/12/21,28.58
2009/12/22,29.13
2009/12/23,29.36
2009/12/24,29.31
2009/12/28,29.58
2009/12/29,29.35
2009/12/30,29.3
2009/12/31,29
2010/01/04,30.02
2010/01/05,29.88
2010/01/06,29.85
2010/01/07,29.8
2010/01/08,30.41
2010/01/11,30.6
2010/01/12,31.57
2010/01/13,33.16
2010/01/14,33.73
2010/01/15,33.34
2010/01/19,33.99
2010/01/20,33.25
2010/01/21,34.36
2010/01/22,34.18
2010/01/25,34.8
2010/01/26,33.5
2010/01/27,33.24
2010/01/28,33.8
2010/01/29,33.23
2010/02/01,34.21
2010/02/02,35.41
2010/02/03,34.94
2010/02/04,34.48
2010/02/05,34.26
2010/02/08,33.01
2010/02/09,33.77
2010/02/10,33.81
2010/02/11,34.06
2010/02/12,34.06
2010/02/16,34.22
2010/02/17,34.44
2010/02/18,34.71
2010/02/19,34.43
2010/02/22,34.78
2010/02/23,34.61
2010/02/24,34.6
2010/02/25,34
2010/02/26,34.11
2010/03/01,34.8
2010/03/02,34.85
2010/03/03,35.5
2010/03/04,35.04
2010/03/05,36.34
2010/03/08,36.75
2010/03/09,37.15
2010/03/10,37.65
2010/03/11,38.17
2010/03/12,37.34
2010/03/15,37.61
2010/03/16,37.57
2010/03/17,37.8
2010/03/18,38.36
2010/03/19,38.64
2010/03/22,38.84
2010/03/23,40.44
2010/03/24,38.7
2010/03/25,37.66
2010/03/26,38.22
2010/03/29,38.43
2010/03/30,38.84
2010/03/31,38.32
2010/04/01,38.42
2010/04/05,38.57
2010/04/06,37.42
2010/04/07,36.87
2010/04/08,36.85
2010/04/09,36.81
2010/04/12,36.54
2010/04/13,36.6
2010/04/14,37
2010/04/15,36.69
2010/04/16,35.56
2010/04/19,36.11
2010/04/20,35.67
2010/04/21,35.49
2010/04/22,35.13
2010/04/23,34.98
2010/04/26,35.07
2010/04/27,35.25
2010/04/28,34.7
2010/04/29,35.34
2010/04/30,34.22
2010/05/03,34.64
2010/05/04,33.48
2010/05/05,33.28
2010/05/06,33.2
2010/05/07,32.9
2010/05/10,34.31
2010/05/11,33.57
2010/05/12,33.24
2010/05/13,31.53
2010/05/14,31.19
2010/05/17,30.67
2010/05/18,30.42
2010/05/19,31.73
2010/05/20,30.67
2010/05/21,32.26
2010/05/24,31.37
2010/05/25,30.9
2010/05/26,30.39
2010/05/27,31.65
2010/05/28,30.78
2010/06/01,30.23
2010/06/02,30.15
2010/06/03,30.05
2010/06/04,29.24
2010/06/07,28.29
2010/06/08,28.62
2010/06/09,28.2
2010/06/10,28.22
2010/06/11,28.6
2010/06/14,28.4
2010/06/15,28.89
2010/06/16,28.33
2010/06/17,28.25
2010/06/18,27.93
2010/06/21,28.4
2010/06/22,27.56
2010/06/23,27.74
2010/06/24,27.39
2010/06/25,27.33
2010/06/28,27.16
2010/06/29,26.84
2010/06/30,26.68
2010/07/01,26.34
2010/07/02,26.36
2010/07/06,26.88
2010/07/07,27.05
2010/07/08,27.78
2010/07/09,27.86
2010/07/12,28.51
2010/07/13,29.23
2010/07/14,29.08
2010/07/15,28.68
2010/07/16,26.87
2010/07/19,27.15
2010/07/20,27.1
2010/07/21,26.66
2010/07/22,28.18
2010/07/23,28.94
2010/07/26,28.85
2010/07/27,29.72
2010/07/28,29.56
2010/07/29,31.9
2010/07/30,31.22
2010/08/02,32.13
2010/08/03,31.41
2010/08/04,31.2
2010/08/05,31.27
2010/08/06,31.67
2010/08/09,31.7
2010/08/10,31.1
2010/08/11,29.8
2010/08/12,29.69
2010/08/13,30.01
2010/08/16,29.6
2010/08/17,30.03
2010/08/18,29.88
2010/08/19,29.92
2010/08/20,29.51
2010/08/23,28.94
2010/08/24,28.07
2010/08/25,28.3
2010/08/26,28.01
2010/08/27,28.88
2010/08/30,28.49
2010/08/31,27.99
2010/09/01,28.92
2010/09/02,29.06
2010/09/03,29.92
2010/09/07,29.52
2010/09/08,29.4
2010/09/09,29.65
2010/09/10,29.95
2010/09/13,30.13
2010/09/14,29.88
2010/09/15,30.69
2010/09/16,30.97
2010/09/17,30.92
2010/09/20,31.53
2010/09/21,30.96
2010/09/22,30.28
2010/09/23,30.06
2010/09/24,31
2010/09/27,30.86
2010/09/28,30.77
2010/09/29,31.45
2010/09/30,30.92
2010/10/01,30.54
2010/10/04,30.48
2010/10/05,31.47
2010/10/06,31.49
2010/10/07,31.48
2010/10/08,32.26
2010/10/11,32.24
2010/10/12,31.89
2010/10/13,31.95
2010/10/14,32.22
2010/10/15,32.13
2010/10/18,32.95
2010/10/19,32.87
2010/10/20,33.21
2010/10/21,33.4
2010/10/22,33.43
2010/10/25,33.56
2010/10/26,33.91
2010/10/27,33.85
2010/10/28,33.82
2010/10/29,33.84
2010/11/01,32.7
2010/11/02,32.71
2010/11/03,32.86
2010/11/04,33.21
2010/11/05,33.4
2010/11/08,33.67
2010/11/09,33.31
2010/11/10,33.56
2010/11/11,33.32
2010/11/12,32.95
2010/11/15,33.64
2010/11/16,33.67
2010/11/17,34.47
2010/11/18,35.41
2010/11/19,35.4
2010/11/22,35.37
2010/11/23,34.45
2010/11/24,35
2010/11/26,34.58
2010/11/29,35
2010/11/30,35.48
2010/12/01,36.47
2010/12/02,36.56
2010/12/03,36.32
2010/12/06,36.57
2010/12/07,36.1
2010/12/08,36.36
2010/12/09,36.2
2010/12/10,35.83
2010/12/13,35.88
2010/12/14,35.63
2010/12/15,35.65
2010/12/16,35.59
2010/12/17,35.39
2010/12/20,35.19
2010/12/21,36.24
2010/12/22,35.48
2010/12/23,35.57
2010/12/27,35.61
2010/12/28,35.84
2010/12/29,35.87
2010/12/30,35.57
2010/12/31,35.71
2011/01/03,36.38
2011/01/04,36.16
2011/01/05,36.21
2011/01/06,36.01
2011/01/07,36.04
2011/01/10,36.16
2011/01/11,36.36
2011/01/12,36.4
2011/01/13,35.62
2011/01/14,35.88
2011/01/18,35.87
2011/01/19,35.94
2011/01/20,35.43
2011/01/21,34.22
2011/01/24,34.85
2011/01/25,35.15
2011/01/26,34.93
2011/01/27,35.37
2011/01/28,34.78
2011/01/31,34.34
2011/02/01,34.74
2011/02/02,34.79
2011/02/03,36.46
2011/02/04,35.63
2011/02/07,34.97
2011/02/08,35.24
2011/02/09,35.05
2011/02/10,34.83
2011/02/11,34.9
2011/02/14,35
2011/02/15,34.67
2011/02/16,35.82
2011/02/17,36.34
2011/02/18,36.41
2011/02/22,36.16
2011/02/23,35.83
2011/02/24,35.74
2011/02/25,36.48
2011/02/28,36.84
2011/03/01,36.27
2011/03/02,36.19
2011/03/03,36.36
2011/03/04,35.95
2011/03/07,35.16
2011/03/08,35.32
2011/03/09,34.99
2011/03/10,34.26
2011/03/11,33.45
2011/03/14,31.08
2011/03/15,30.9
2011/03/16,29.88
2011/03/17,31.4
2011/03/18,31.54
2011/03/21,32.42
2011/03/22,32.28
2011/03/23,32.15
2011/03/24,32.38
2011/03/25,32.21
2011/03/28,31.65
2011/03/29,31.91
2011/03/30,32.28
2011/03/31,31.83
2011/04/01,31.87
2011/04/04,31.45
2011/04/05,31.11
2011/04/06,30.56
2011/04/07,30.33
2011/04/08,30.58
2011/04/11,30.24
2011/04/12,29.59
2011/04/13,29.78
2011/04/14,29.69
2011/04/15,29.69
2011/04/18,29.25
2011/04/19,29.71
2011/04/20,30.14
2011/04/21,30.5
2011/04/25,30.09
2011/04/26,29.79
2011/04/27,29.03
2011/04/28,28.39
2011/04/29,28.31
2011/05/02,28.8
2011/05/03,28.44
2011/05/04,28.38
2011/05/05,27.98
2011/05/06,28.06
2011/05/09,28.68
2011/05/10,28.99
2011/05/11,28.3
2011/05/12,28.23
2011/05/13,27.58
2011/05/16,27.82
2011/05/17,28.07
2011/05/18,27.8
2011/05/19,27.22
2011/05/20,27.05
2011/05/23,26.59
2011/05/24,27.9
2011/05/25,27.65
2011/05/26,27.21
2011/05/27,26.85
2011/05/31,26.74
2011/06/01,26.5
2011/06/02,26.54
2011/06/03,26.38
2011/06/06,25.76
2011/06/07,25.27
2011/06/08,25.25
2011/06/09,25.61
2011/06/10,25.01
2011/06/13,25.09
2011/06/14,25.2
2011/06/15,24.88
2011/06/16,24.8
2011/06/17,24.92
2011/06/20,24.28
2011/06/21,24.47
2011/06/22,24.94
2011/06/23,25.29
2011/06/24,25.63
2011/06/27,25.26
2011/06/28,25.42
2011/06/29,25.6
2011/06/30,26.39
2011/07/01,26.57
2011/07/05,26.74
2011/07/06,26.93
2011/07/07,27.29
2011/07/08,27.1
2011/07/11,26.86
2011/07/12,26.62
2011/07/13,27.06
2011/07/14,26.73
2011/07/15,27.03
2011/07/18,26.69
2011/07/19,26.65
2011/07/20,26.72
2011/07/21,26.8
2011/07/22,26.83
2011/07/25,26.31
2011/07/26,26.4
2011/07/27,25.6
2011/07/28,25.08
2011/07/29,25.1
2011/08/01,25.07
2011/08/02,25.13
2011/08/03,24.98
2011/08/04,23.35
2011/08/05,23.14
2011/08/08,21.67
2011/08/09,22.61
2011/08/10,21.32
2011/08/11,21.79
2011/08/12,21.49
2011/08/15,22.37
2011/08/16,21.96
2011/08/17,21.9
2011/08/18,20.69
2011/08/19,20.53
2011/08/22,20.69
2011/08/23,21
2011/08/24,20.41
2011/08/25,20.35
2011/08/26,20.69
2011/08/29,21.63
2011/08/30,22.01
2011/08/31,21.95
2011/09/01,21.76
2011/09/02,20.73
2011/09/06,19.86
2011/09/07,20.45
2011/09/08,20.1
2011/09/09,19.63
2011/09/12,19.5
2011/09/13,19.54
2011/09/14,19.88
2011/09/15,20.03
2011/09/16,20.5
2011/09/19,20.17
2011/09/20,19.81
2011/09/21,19.18
2011/09/22,18.66
2011/09/23,19.02
2011/09/26,18.99
2011/09/27,19.22
2011/09/28,19.34
2011/09/29,19.73
2011/09/30,19
2011/10/03,18.11
2011/10/04,18.82
2011/10/05,18.78
2011/10/06,19.12
2011/10/07,18.25
2011/10/10,19
2011/10/11,19.58
2011/10/12,19.94
2011/10/13,20.22
2011/10/14,20.17
2011/10/17,20.37
2011/10/18,20.79
2011/10/19,20.24
2011/10/20,20.23
2011/10/21,20.71
2011/10/24,20.38
2011/10/25,20.21
2011/10/26,20.61
2011/10/27,22.06
2011/10/28,22.38
2011/10/31,20.97
2011/11/01,19.71
2011/11/02,18.53
2011/11/03,18.31
2011/11/04,17.92
2011/11/07,17.99
2011/11/08,17.48
2011/11/09,17.2
2011/11/10,17.11
2011/11/11,17.54
2011/11/14,17.51
2011/11/15,17.42
2011/11/16,16.87
2011/11/17,16.8
2011/11/18,16.91
2011/11/21,16.28
2011/11/22,16.57
2011/11/23,16.27
2011/11/25,16.96
2011/11/28,17.52
2011/11/29,17.57
2011/11/30,18.05
2011/12/01,17.99
2011/12/02,17.77
2011/12/05,17.88
2011/12/06,17.68
2011/12/07,18.53
2011/12/08,18.14
2011/12/09,18.28
2011/12/12,17.87
2011/12/13,17.51
2011/12/14,17.1
2011/12/15,17.19
2011/12/16,17.31
2011/12/19,16.71
2011/12/20,17.31
2011/12/21,17.47
2011/12/22,17.76
2011/12/23,17.95
2011/12/27,17.78
2011/12/28,17.08
2011/12/29,17.68
2011/12/30,18.04
2012/01/03,18.38
2012/01/04,18.22
2012/01/05,17.7
2012/01/06,17.44
2012/01/09,17.47
2012/01/10,17.7
2012/01/11,17.69
2012/01/12,17.26
2012/01/13,17.13
2012/01/17,16.77
2012/01/18,17.12
2012/01/19,17.25
2012/01/20,17.85
2012/01/23,18.53
2012/01/24,17.95
2012/01/25,18.66
2012/01/26,18.51
2012/01/27,18.42
2012/01/30,18.11
2012/01/31,18.22
2012/02/01,18.19
2012/02/02,17.09
2012/02/03,19.21
2012/02/06,19.44
2012/02/07,19.68
2012/02/08,19.89
2012/02/09,19.91
2012/02/10,19.53
2012/02/13,19.48
2012/02/14,19.13
2012/02/15,19.99
2012/02/16,20.5
2012/02/17,20.6
2012/02/21,20.66
2012/02/22,20.88
2012/02/23,21.19
2012/02/24,21.73
2012/02/27,21.69
2012/02/28,22.26
2012/02/29,21.39
2012/03/01,21.57
2012/03/02,21.37
2012/03/05,20.73
2012/03/06,20.36
2012/03/07,20.42
2012/03/08,20.42
2012/03/09,21.26
2012/03/12,20.85
2012/03/13,21.14
2012/03/14,21.59
2012/03/15,21.75
2012/03/16,21.81
2012/03/19,21.65
2012/03/20,21.38
2012/03/21,20.72
2012/03/22,20.55
2012/03/23,20.32
2012/03/26,20.6
2012/03/27,20.77
2012/03/28,21.13
2012/03/29,20.93
2012/03/30,20.77
2012/04/02,20.81
2012/04/03,20.5
2012/04/04,19.72
2012/04/05,20.01
2012/04/09,20.1
2012/04/10,18.24
2012/04/11,18.75
2012/04/12,18.73
2012/04/13,17.36
2012/04/16,17.51
2012/04/17,17.5
2012/04/18,16.89
2012/04/19,16.7
2012/04/20,16.83
2012/04/23,16.51
2012/04/24,16.62
2012/04/25,16.42
2012/04/26,16.5
2012/04/27,16.32
2012/04/30,16.21
2012/05/01,15.99
2012/05/02,15.73
2012/05/03,15.52
2012/05/04,15.32
2012/05/07,15.31
2012/05/08,15.02
2012/05/09,15.23
2012/05/10,15.38
2012/05/11,14.18
2012/05/14,14.2
2012/05/15,13.91
2012/05/16,13.76
2012/05/17,14.24
2012/05/18,13.77
2012/05/21,14.13
2012/05/22,14
2012/05/23,13.83
2012/05/24,13.76
2012/05/25,13.3
2012/05/29,13.55
2012/05/30,13.03
2012/05/31,13.24
2012/06/01,12.65
2012/06/04,12.79
2012/06/05,13.2
2012/06/06,13.59
2012/06/07,13.31
2012/06/08,12.85
2012/06/11,12.76
2012/06/12,13.07
2012/06/13,12.76
2012/06/14,12.98
2012/06/15,13.18
2012/06/18,13.43
2012/06/19,13.56
2012/06/20,13.97
2012/06/21,13.55
2012/06/22,14.31
2012/06/25,13.96
2012/06/26,13.84
2012/06/27,13.81
2012/06/28,13.72
2012/06/29,14.24
2012/07/02,14.2
2012/07/03,14.27
2012/07/05,13.78
2012/07/06,13.64
2012/07/09,13.45
2012/07/10,13.1
2012/07/11,12.87
2012/07/12,12.5
2012/07/13,12.66
2012/07/16,12.6
2012/07/17,12.3
2012/07/18,12.34
2012/07/19,12.57
2012/07/20,12.08
2012/07/23,11.7
2012/07/24,11.65
2012/07/25,11.26
2012/07/26,11.9
2012/07/27,12.35
2012/07/30,12.02
2012/07/31,12.15
2012/08/01,12.14
2012/08/02,11.24
2012/08/03,11.64
2012/08/06,11.51
2012/08/07,11.67
2012/08/08,11.71
2012/08/09,11.98
2012/08/10,12.34
2012/08/13,12.21
2012/08/14,11.71
2012/08/15,11.39
2012/08/16,11.84
2012/08/17,11.95
2012/08/20,12
2012/08/21,11.95
