date,close,volume,open,high,low
2019/01/03,47.02,1618532,48.23,48.28,46.89
2019/01/02,48.72,779791,47.57,48.98,47.4
2018/12/31,48.28,858669,48.73,48.81,47.92
2018/12/28,48.14,607769,48.61,48.71,47.85
2018/12/27,48.53,805958,47.6,48.53,47.06
2018/12/26,47.62,1151213,46.78,47.67,45.85
2018/12/24,45.88,807628,46.07,46.57,45.635
2018/12/21,46.73,1240615,47.38,47.91,46.69
2018/12/20,48.27,1312563,48.6,49.2,47.72
2018/12/19,48.76,1428050,49.39,49.98,48.34
2018/12/18,49.39,1163606,50.02,50.21,49.24
2018/12/17,50.5,711476,51.19,51.28,50.26
2018/12/14,51.29,750601,51.61,51.91,51.15
2018/12/13,52.2,619549,52.59,52.8,52.03
2018/12/12,52.62,926774,52.56,53.31,52.43
2018/12/11,51.15,1814330,51.63,51.8,50.9
2018/12/10,51.11,1023994,50.65,51.275,50.16
2018/12/07,51.13,635018,52,52.32,51.01
2018/12/06,51.86,783415,50.66,51.92,50.63
2018/12/04,51.51,1113180,53.09,53.21,51.4401
2018/12/03,54.17,1082742,54.08,54.34,53.87
2018/11/30,52.82,809488,52.87,53.29,52.58
2018/11/29,51.88,1099979,52.11,52.25,51.61
2018/11/28,52.91,1041943,51.82,52.92,51.45
2018/11/27,51.37,956966,51.13,51.62,50.88
2018/11/26,51.02,1280297,50.54,51.13,50.43
2018/11/23,49.69,362603,49.86,50.3,49.66
2018/11/21,50.52,782957,50.54,50.92,50.3625
2018/11/20,49.53,1412817,49.71,50.11,49.32
2018/11/19,50.99,1579766,51.88,52.07,50.92
2018/11/16,50.81,834829,50.09,50.98,50.04
2018/11/15,51.65,712781,50.7,51.7804,50.6
2018/11/14,51.14,871861,51.59,51.66,50.72
2018/11/13,51.24,949845,51.46,51.92,51.09
2018/11/12,51.53,1644482,52.69,52.72,51.45
2018/11/09,54.07,957755,54.18,54.34,53.76
2018/11/08,54.41,1076584,54.94,55.01,54.07
2018/11/07,55.26,1616109,54.49,55.47,54.26
2018/11/06,53.5,711043,53.62,53.8699,53.23
2018/11/05,53.32,958839,53.74,53.74,53.17
2018/11/02,53.66,1563385,54.71,54.91,53.28
2018/11/01,55.66,1538241,55.49,55.69,54.9
2018/10/31,54.13,1766825,54.28,54.48,53.7
2018/10/30,53.43,2708505,54,54.89,53
2018/10/29,51,2568635,52.66,52.97,50.31
2018/10/26,52.41,2727158,52.03,52.75,51.74
2018/10/25,53.48,1818555,52.99,53.87,52.64
2018/10/24,53.08,1589285,55,55.01,53.07
2018/10/23,55.07,1461785,54.5,55.25,53.35
2018/10/22,55.78,503133,56,56.14,55.47
2018/10/19,55.67,769264,56.48,56.6711,55.65
2018/10/18,56.03,1755412,57.2,57.2,55.61
2018/10/17,57.9,1160263,57.89,58.12,57.41
