Date,Return
Jan 04 2018,-0.95
Jan 05 2018,-1.45
Jan 08 2018,-0.3
Jan 09 2018,-0.55
Jan 10 2018,-0.23
Jan 11 2018,-0.5
Jan 12 2018,0.25
Jan 16 2018,1.08
Jan 17 2018,-0.87
Jan 18 2018,0.65
Jan 19 2018,-0.72
Jan 22 2018,-0.91
Jan 23 2018,0.38
Jan 24 2018,1.27
Jan 25 2018,0.75
Jan 26 2018,-1.08
Jan 29 2018,1.61
Jan 30 2018,0.52
Jan 31 2018,-0.59
Feb 01 2018,-1.21
Feb 02 2018,-2.84
Feb 05 2018,2.99
Feb 06 2018,-1.77
Feb 07 2018,0.65
Feb 08 2018,3.16
Feb 09 2018,-0.09
Feb 12 2018,-1.22
Feb 13 2018,1.05
Feb 14 2018,-1.37
Feb 15 2018,-0.22
Feb 16 2018,-0.74
Feb 20 2018,0.14
Feb 21 2018,-0.09
Feb 22 2018,-0.35
Feb 23 2018,-0.38
Feb 26 2018,-0.69
Feb 27 2018,0.65
Feb 28 2018,-0.19
Mar 01 2018,1.74
Mar 02 2018,-0.96
Mar 05 2018,-0.85
Mar 06 2018,0.37
Mar 07 2018,-0.73
Mar 08 2018,-0.39
Mar 09 2018,-0.12
Mar 12 2018,1.39
Mar 13 2018,-0.06
Mar 14 2018,-0.88
Mar 15 2018,-0.39
Mar 16 2018,0.7
Mar 19 2018,2.3
Mar 20 2018,-0.49
Mar 21 2018,0.14
Mar 22 2018,0.56
Mar 23 2018,0.24
Mar 26 2018,-0.78
Mar 27 2018,0.8
Mar 28 2018,-0.21
Mar 29 2018,-0.26
Apr 02 2018,0.35
Apr 03 2018,-0.85
Apr 04 2018,-0.13
Apr 05 2018,-0.18
Apr 06 2018,0.71
Apr 09 2018,-0.13
Apr 10 2018,-1.18
Apr 11 2018,0.4
Apr 12 2018,0.21
Apr 13 2018,0.25
Apr 16 2018,-0.46
Apr 17 2018,-0.42
Apr 18 2018,-0.69
Apr 19 2018,0.73
Apr 20 2018,-0.03
Apr 23 2018,0.35
Apr 24 2018,0.02
Apr 25 2018,-0.19
Apr 26 2018,-0.6
Apr 27 2018,4.68
Apr 30 2018,-0.33
May 01 2018,-0.52
May 02 2018,-0.31
May 03 2018,-0.44
May 04 2018,-0.47
May 07 2018,0.13
May 08 2018,0.05
May 09 2018,0.08
May 10 2018,0.43
May 11 2018,-1.2
May 14 2018,-0.26
May 15 2018,0.83
May 16 2018,-0.31
May 17 2018,-0.98
May 18 2018,0.2
May 21 2018,0.21
May 22 2018,1.33
May 23 2018,0.59
May 24 2018,0.01
May 25 2018,0.06
May 29 2018,-0.2
May 30 2018,-0.61
May 31 2018,0.12
Jun 01 2018,-0.58
Jun 04 2018,-1.41
Jun 05 2018,-0.23
Jun 06 2018,-0.87
Jun 07 2018,0.3
Jun 08 2018,-0.08
Jun 11 2018,-0.54
Jun 12 2018,0.65
Jun 13 2018,0.03
Jun 14 2018,0.69
Jun 15 2018,0.01
Jun 18 2018,0.75
Jun 19 2018,0.13
Jun 20 2018,-1.32
Jun 21 2018,0.34
Jun 22 2018,-1.15
Jun 25 2018,0.84
Jun 26 2018,-0.47
Jun 27 2018,-0.29
Jun 28 2018,-1.41
Jun 29 2018,0.44
Jul 02 2018,0.32
Jul 03 2018,-0.03
Jul 05 2018,1.91
Jul 06 2018,-0.52
Jul 09 2018,-2.03
Jul 10 2018,-0.07
Jul 11 2018,-0.28
Jul 12 2018,-0.25
Jul 13 2018,-1.1
Jul 16 2018,0.04
Jul 17 2018,-0.36
Jul 18 2018,0.56
Jul 19 2018,0.44
Jul 20 2018,-0.32
Jul 23 2018,-0.2
Jul 24 2018,0.48
Jul 25 2018,-0.99
Jul 26 2018,0.00001
Jul 27 2018,0.26
Jul 30 2018,1.06
Jul 31 2018,-1.68
Aug 01 2018,-0.98
Aug 02 2018,-0.28
Aug 03 2018,0.32
Aug 06 2018,0.5
Aug 07 2018,-1.09
Aug 08 2018,0.76
Aug 09 2018,-0.6
Aug 10 2018,0.74
Aug 13 2018,0.48
Aug 14 2018,-0.11
Aug 15 2018,0.57
Aug 16 2018,-0.13
Aug 17 2018,-1.03
Aug 20 2018,0.28
Aug 21 2018,0.17
Aug 22 2018,-0.2
Aug 23 2018,0.21
Aug 24 2018,-0.13
Aug 27 2018,-1.48
Aug 28 2018,0.25
Aug 29 2018,-1.3
Aug 30 2018,0.39
Aug 31 2018,-0.15
Sep 04 2018,0.65
Sep 05 2018,0.68
Sep 06 2018,-0.86
Sep 07 2018,-0.17
Sep 10 2018,-0.15
Sep 11 2018,-0.17
Sep 12 2018,-0.62
Sep 13 2018,-0.29
Sep 14 2018,-1.68
Sep 17 2018,0.15
Sep 18 2018,-0.54
Sep 19 2018,0.83
Sep 20 2018,-0.1
Sep 21 2018,2.1
Sep 24 2018,0.15
Sep 25 2018,-1.68
Sep 26 2018,-0.92
Sep 27 2018,-0.08
Sep 28 2018,-1.12
Oct 01 2018,0.07
Oct 02 2018,0.76
Oct 03 2018,1.5
Oct 04 2018,1.25
Oct 05 2018,-0.16
Oct 08 2018,0.16
Oct 09 2018,-0.9
Oct 10 2018,1.87
Oct 11 2018,0.58
Oct 12 2018,0.01
Oct 15 2018,-0.74
Oct 16 2018,-1.25
Oct 17 2018,-0.4
Oct 18 2018,1.87
Oct 19 2018,0.36
Oct 22 2018,-0.11
Oct 23 2018,0.71
Oct 24 2018,1.99
Oct 25 2018,-0.4
Oct 26 2018,1.07
Oct 29 2018,1.41
Oct 30 2018,-2.43
Oct 31 2018,-0.7
Nov 01 2018,-1.53
Nov 02 2018,2
Nov 05 2018,0.34
Nov 06 2018,-0.18
Nov 07 2018,-1.76
Nov 08 2018,0.85
Nov 09 2018,0.34
Nov 12 2018,2.54
Nov 13 2018,0.29
Nov 14 2018,0.1
Nov 15 2018,-0.51
Nov 16 2018,0.84
Nov 19 2018,-0.18
Nov 20 2018,1.46
Nov 21 2018,-0.99
Nov 23 2018,0.83
Nov 26 2018,-1.33
Nov 27 2018,-0.35
Nov 28 2018,-1.54
Nov 29 2018,1.03
Nov 30 2018,-0.94
Dec 03 2018,-1.35
Dec 04 2018,2.66
Dec 06 2018,-0.35
Dec 07 2018,0.73
Dec 10 2018,0.02
Dec 11 2018,-0.04
Dec 12 2018,-1.47
Dec 13 2018,0.42
Dec 14 2018,0.91
Dec 17 2018,0.79
Dec 18 2018,1.11
Dec 19 2018,0.63
Dec 20 2018,0.49
Dec 21 2018,1.54
Dec 24 2018,0.85
Dec 26 2018,-1.74
Dec 27 2018,-0.91
Dec 28 2018,0.39
Dec 31 2018,-0.14
