"Date",Volume
"Dec 31 2018",858700
"Dec 28 2018",607800
"Dec 27 2018",806000
"Dec 26 2018",1151700
"Dec 24 2018",807600
"Dec 21 2018",1240600
"Dec 20 2018",1314600
"Dec 19 2018",1428100
"Dec 18 2018",1163900
"Dec 17 2018",711500
"Dec 14 2018",750600
"Dec 13 2018",620200
"Dec 12 2018",926800
"Dec 11 2018",1814300
"Dec 10 2018",1024000
"Dec 07 2018",635000
"Dec 06 2018",783400
"Dec 04 2018",1113200
"Dec 03 2018",1082700
"Nov 30 2018",809500
"Nov 29 2018",1100000
"Nov 28 2018",1042000
"Nov 27 2018",957000
"Nov 26 2018",1280400
"Nov 23 2018",362600
"Nov 21 2018",783100
"Nov 20 2018",1412800
"Nov 19 2018",1579800
"Nov 16 2018",834900
"Nov 15 2018",712800
"Nov 14 2018",871900
"Nov 13 2018",949800
"Nov 12 2018",1650000
"Nov 09 2018",957800
"Nov 08 2018",1076600
"Nov 07 2018",1616100
"Nov 06 2018",711000
"Nov 05 2018",958900
"Nov 02 2018",1563400
"Nov 01 2018",1538300
"Oct 31 2018",1766900
"Oct 30 2018",2709200
"Oct 29 2018",2568700
"Oct 26 2018",2727300
"Oct 25 2018",1818600
"Oct 24 2018",1589900
"Oct 23 2018",1461800
"Oct 22 2018",503000
"Oct 19 2018",769200
"Oct 18 2018",1755400
"Oct 17 2018",1160300
"Oct 16 2018",1339500
"Oct 15 2018",1403300
"Oct 12 2018",1411800
"Oct 11 2018",1296800
"Oct 10 2018",1611400
"Oct 09 2018",1069700
"Oct 08 2018",937700
"Oct 05 2018",775400
"Oct 04 2018",1836000
"Oct 03 2018",979300
"Oct 02 2018",727200
"Oct 01 2018",632300
"Sep 28 2018",1584600
"Sep 27 2018",608600
"Sep 26 2018",1068800
"Sep 25 2018",1154700
"Sep 24 2018",1276700
"Sep 21 2018",3685600
"Sep 20 2018",678300
"Sep 19 2018",1105900
"Sep 18 2018",1143900
"Sep 17 2018",738400
"Sep 14 2018",1254200
"Sep 13 2018",625500
"Sep 12 2018",608200
"Sep 11 2018",661400
"Sep 10 2018",1071600
"Sep 07 2018",873100
"Sep 06 2018",1148600
"Sep 05 2018",743300
"Sep 04 2018",599600
"Aug 31 2018",493100
"Aug 30 2018",712600
"Aug 29 2018",1093200
"Aug 28 2018",1561300
"Aug 27 2018",905200
"Aug 24 2018",699500
"Aug 23 2018",1752100
"Aug 22 2018",637500
"Aug 21 2018",463600
"Aug 20 2018",570400
"Aug 17 2018",1273100
"Aug 16 2018",1480400
"Aug 15 2018",1161900
"Aug 14 2018",737100
"Aug 13 2018",1009400
"Aug 10 2018",1220400
"Aug 09 2018",614900
"Aug 08 2018",775700
"Aug 07 2018",886100
"Aug 06 2018",611500
"Aug 03 2018",923000
"Aug 02 2018",1052300
"Aug 01 2018",1252400
"Jul 31 2018",1683100
"Jul 30 2018",1068400
"Jul 27 2018",653200
"Jul 26 2018",506500
"Jul 25 2018",682100
"Jul 24 2018",918800
"Jul 23 2018",458500
"Jul 20 2018",944200
"Jul 19 2018",590400
"Jul 18 2018",630300
"Jul 17 2018",804100
"Jul 16 2018",446900
"Jul 13 2018",867800
"Jul 12 2018",1011400
"Jul 11 2018",1036100
"Jul 10 2018",489600
"Jul 09 2018",852300
"Jul 06 2018",447600
"Jul 05 2018",1709800
"Jul 03 2018",581100
"Jul 02 2018",480000
"Jun 29 2018",1047500
"Jun 28 2018",1284500
"Jun 27 2018",1298400
"Jun 26 2018",637900
"Jun 25 2018",646500
"Jun 22 2018",1174800
"Jun 21 2018",761300
"Jun 20 2018",1281000
"Jun 19 2018",712100
"Jun 18 2018",777900
"Jun 15 2018",520000
"Jun 14 2018",731300
"Jun 13 2018",835300
"Jun 12 2018",528900
"Jun 11 2018",597000
"Jun 08 2018",582500
"Jun 07 2018",688800
"Jun 06 2018",2584000
"Jun 05 2018",994400
"Jun 04 2018",1359100
"Jun 01 2018",439500
"May 31 2018",708900
"May 30 2018",747100
"May 29 2018",1129500
"May 25 2018",762100
"May 24 2018",806100
"May 23 2018",1069000
"May 22 2018",1047300
"May 21 2018",624100
"May 18 2018",655100
"May 17 2018",1145100
"May 16 2018",626500
"May 15 2018",908100
"May 14 2018",842300
"May 11 2018",1648100
"May 10 2018",838000
"May 09 2018",1107200
"May 08 2018",918500
"May 07 2018",1213800
"May 04 2018",1041300
"May 03 2018",1467900
"May 02 2018",1370900
"May 01 2018",1987800
"Apr 30 2018",1113200
"Apr 27 2018",6676300
"Apr 26 2018",1127400
"Apr 25 2018",802200
"Apr 24 2018",1256900
"Apr 23 2018",929700
"Apr 20 2018",1341700
"Apr 19 2018",1921200
"Apr 18 2018",1970000
"Apr 17 2018",1026200
"Apr 16 2018",682000
"Apr 13 2018",699900
"Apr 12 2018",779100
"Apr 11 2018",549800
"Apr 10 2018",1050300
"Apr 09 2018",611100
"Apr 06 2018",892600
"Apr 05 2018",882500
"Apr 04 2018",907200
"Apr 03 2018",1907000
"Apr 02 2018",2178400
"Mar 29 2018",2136900
"Mar 28 2018",2809900
"Mar 27 2018",1473100
"Mar 26 2018",931400
"Mar 23 2018",915800
"Mar 22 2018",1581600
"Mar 21 2018",623900
"Mar 20 2018",947900
"Mar 19 2018",1839100
"Mar 16 2018",964000
"Mar 15 2018",536900
"Mar 14 2018",927500
"Mar 13 2018",1257800
"Mar 12 2018",1385300
"Mar 09 2018",1289100
"Mar 08 2018",801500
"Mar 07 2018",1230900
"Mar 06 2018",1084200
"Mar 05 2018",1108300
"Mar 02 2018",843200
"Mar 01 2018",1187500
"Feb 28 2018",863500
"Feb 27 2018",859400
"Feb 26 2018",877900
"Feb 23 2018",1437700
"Feb 22 2018",885700
"Feb 21 2018",918200
"Feb 20 2018",698600
"Feb 16 2018",882400
"Feb 15 2018",623600
"Feb 14 2018",1343400
"Feb 13 2018",1309200
"Feb 12 2018",1212700
"Feb 09 2018",2103600
"Feb 08 2018",2578100
"Feb 07 2018",1131700
"Feb 06 2018",2667400
"Feb 05 2018",2596400
"Feb 02 2018",3954200
"Feb 01 2018",1810100
"Jan 31 2018",852100
"Jan 30 2018",910800
"Jan 29 2018",3080600
"Jan 26 2018",1112900
"Jan 25 2018",1217600
"Jan 24 2018",1742500
"Jan 23 2018",2431800
"Jan 22 2018",800100
"Jan 19 2018",522100
"Jan 18 2018",570600
"Jan 17 2018",784500
"Jan 16 2018",1388400
"Jan 12 2018",1043400
"Jan 11 2018",860300
"Jan 10 2018",1051300
"Jan 09 2018",1057300
"Jan 08 2018",618900
