"Date",Volume
"Apr 20 2018",1341700
"Apr 23 2018",929700
"Apr 24 2018",1256900
"Apr 25 2018",802200
"Apr 26 2018",1127400
"Apr 27 2018",6676300
"Apr 30 2018",1113200
"May 01 2018",1987800
"May 02 2018",1370900
"May 03 2018",1467900
"May 04 2018",1041300
"May 07 2018",1213800
"May 08 2018",918500
"May 09 2018",1107200
"May 10 2018",838000
"May 11 2018",1648100
"May 14 2018",842300
"May 15 2018",908100
"May 16 2018",626500
"May 17 2018",1145100
"May 18 2018",655100
"May 21 2018",624100
"May 22 2018",1047300
"May 23 2018",1069000
"May 24 2018",806100
"May 25 2018",762100
"May 29 2018",1129500
"May 30 2018",747100
"May 31 2018",708900
"Jun 01 2018",439500
"Jun 04 2018",1359100
"Jun 05 2018",994400
"Jun 06 2018",2584000
"Jun 07 2018",688800
"Jun 08 2018",582500
"Jun 11 2018",597000
"Jun 12 2018",528900
"Jun 13 2018",835300
"Jun 14 2018",731300
"Jun 15 2018",520000
"Jun 18 2018",777900
"Jun 19 2018",712100
"Jun 20 2018",1281000
"Jun 21 2018",761300
"Jun 22 2018",1174800
"Jun 25 2018",646500
"Jun 26 2018",637900
"Jun 27 2018",1298400
"Jun 28 2018",1284500
"Jun 29 2018",1047500
"Jul 02 2018",480000
"Jul 03 2018",581100
"Jul 05 2018",1709800
"Jul 06 2018",447600
"Jul 09 2018",852300
"Jul 10 2018",489600
"Jul 11 2018",1036100
"Jul 12 2018",1011400
"Jul 13 2018",867800
"Jul 16 2018",446900
"Jul 17 2018",804100
"Jul 18 2018",630300
"Jul 19 2018",590400
"Jul 20 2018",944200
"Jul 23 2018",458500
"Jul 24 2018",918800
"Jul 25 2018",682100
"Jul 26 2018",506500
"Jul 27 2018",653200
"Jul 30 2018",1068400
"Jul 31 2018",1683100
"Aug 01 2018",1252400
"Aug 02 2018",1052300
"Aug 03 2018",923000
"Aug 06 2018",611500
"Aug 07 2018",886100
"Aug 08 2018",775700
"Aug 09 2018",614900
"Aug 10 2018",1220400
"Aug 13 2018",1009400
"Aug 14 2018",737100
"Aug 15 2018",1161900
"Aug 16 2018",1480400
"Aug 17 2018",1273100
"Aug 20 2018",570400
"Aug 21 2018",463600
"Aug 22 2018",637500
"Aug 23 2018",1752100
"Aug 24 2018",699500
"Aug 27 2018",905200
"Aug 28 2018",1561300
"Aug 29 2018",1093200
"Aug 30 2018",712600
"Aug 31 2018",493100
"Sep 04 2018",599600
"Sep 05 2018",743300
"Sep 06 2018",1148600
"Sep 07 2018",873100
"Sep 10 2018",1071600
"Sep 11 2018",661400
"Sep 12 2018",608200
"Sep 13 2018",625500
"Sep 14 2018",1254200
"Sep 17 2018",738400
"Sep 18 2018",1143900
"Sep 19 2018",1105900
"Sep 20 2018",678300
"Sep 21 2018",3685600
"Sep 24 2018",1276700
"Sep 25 2018",1154700
"Sep 26 2018",1068800
"Sep 27 2018",608600
"Sep 28 2018",1584600
"Oct 01 2018",632300
"Oct 02 2018",727200
"Oct 03 2018",979300
"Oct 04 2018",1836000
"Oct 05 2018",775400
"Oct 08 2018",937700
"Oct 09 2018",1069700
"Oct 10 2018",1611400
"Oct 11 2018",1296800
"Oct 12 2018",1411800
"Oct 15 2018",1403300
"Oct 16 2018",1339500
"Oct 17 2018",1160300
"Oct 18 2018",1755400
"Oct 19 2018",769200
"Oct 22 2018",503000
"Oct 23 2018",1461800
"Oct 24 2018",1589900
"Oct 25 2018",1818600
"Oct 26 2018",2727300
"Oct 29 2018",2568700
"Oct 30 2018",2709200
"Oct 31 2018",1766900
"Nov 01 2018",1538300
"Nov 02 2018",1563400
"Nov 05 2018",958900
"Nov 06 2018",711000
"Nov 07 2018",1616100
"Nov 08 2018",1076600
"Nov 09 2018",957800
"Nov 12 2018",1650000
"Nov 13 2018",949800
"Nov 14 2018",871900
"Nov 15 2018",712800
"Nov 16 2018",834900
"Nov 19 2018",1579800
"Nov 20 2018",1412800
"Nov 21 2018",783100
"Nov 23 2018",362600
"Nov 26 2018",1280400
"Nov 27 2018",957000
"Nov 28 2018",1042000
"Nov 29 2018",1100000
"Nov 30 2018",809500
"Dec 03 2018",1082700
"Dec 04 2018",1113200
"Dec 06 2018",783400
"Dec 07 2018",635000
"Dec 10 2018",1024000
"Dec 11 2018",1814300
"Dec 12 2018",926800
"Dec 13 2018",620200
"Dec 14 2018",750600
"Dec 17 2018",711500
"Dec 18 2018",1163900
"Dec 19 2018",1428100
"Dec 20 2018",1314600
"Dec 21 2018",1240600
"Dec 24 2018",807600
"Dec 26 2018",1151700
"Dec 27 2018",806000
"Dec 28 2018",607800
"Dec 31 2018",858700
